driver,lap_number,lap_time,position
31,37.0,69.563,12.0
31,38.0,69.729,12.0
31,39.0,69.528,12.0
31,40.0,69.666,12.0
31,41.0,69.313,12.0
31,42.0,69.264,12.0
31,43.0,69.456,12.0
31,44.0,69.691,12.0
31,45.0,69.299,11.0
31,46.0,89.574,11.0
31,47.0,93.731,10.0
31,48.0,101.602,9.0
31,49.0,92.905,9.0
31,50.0,102.357,10.0
31,51.0,116.363,10.0
31,52.0,114.426,10.0
31,53.0,110.739,10.0
31,54.0,103.597,10.0
31,55.0,91.146,9.0
31,56.0,71.756,9.0
31,57.0,69.809,9.0
31,58.0,69.528,9.0
31,59.0,68.932,9.0
31,60.0,69.16,9.0
31,61.0,69.903,9.0
31,62.0,69.691,9.0
31,63.0,69.157,9.0
31,64.0,69.733,9.0
31,65.0,68.912,9.0
31,66.0,69.665,9.0
99,1.0,80.013,14.0
99,2.0,72.959,14.0
99,3.0,71.633,14.0
99,4.0,71.482,14.0
99,5.0,71.848,14.0
99,6.0,72.479,15.0
99,7.0,71.83,15.0
99,8.0,71.584,15.0
99,9.0,70.987,17.0
99,10.0,72.546,18.0
99,11.0,71.406,17.0
99,12.0,71.093,16.0
99,13.0,72.451,17.0
99,14.0,71.027,17.0
99,15.0,71.03,17.0
99,16.0,71.165,16.0
99,17.0,70.867,16.0
99,18.0,70.902,16.0
99,19.0,70.971,15.0
99,20.0,78.971,14.0
99,21.0,137.383,14.0
99,22.0,84.006,14.0
99,23.0,73.014,14.0
99,24.0,89.54,14.0
99,25.0,103.562,14.0
99,26.0,71.026,13.0
99,27.0,70.785,13.0
99,28.0,70.152,13.0
99,29.0,70.073,13.0
99,30.0,70.3,13.0
99,31.0,70.412,13.0
99,32.0,70.325,13.0
99,33.0,70.15,13.0
99,34.0,70.111,13.0
99,35.0,70.321,13.0
99,36.0,69.992,13.0
99,37.0,69.939,13.0
99,38.0,69.654,13.0
99,39.0,69.83,13.0
99,40.0,69.894,13.0
99,41.0,69.525,13.0
99,42.0,69.211,13.0
99,43.0,69.436,13.0
99,44.0,69.372,13.0
99,45.0,69.232,12.0
99,46.0,88.519,12.0
99,47.0,95.51,11.0
99,48.0,100.907,11.0
99,49.0,91.917,11.0
99,50.0,101.434,11.0
99,51.0,122.702,13.0
99,52.0,112.419,13.0
99,53.0,110.349,13.0
99,54.0,104.39,13.0
99,55.0,88.209,13.0
99,56.0,71.187,12.0
99,57.0,70.533,12.0
99,58.0,69.235,11.0
99,59.0,70.749,11.0
99,60.0,70.404,11.0
99,61.0,70.726,11.0
99,62.0,68.893,10.0
99,63.0,69.141,10.0
99,64.0,69.167,10.0
99,65.0,68.796,10.0
99,66.0,69.178,10.0
5,1.0,78.362,10.0
5,2.0,72.072,10.0
5,3.0,70.67,10.0
5,4.0,70.483,10.0
5,5.0,70.422,10.0
5,6.0,70.594,10.0
5,7.0,70.841,10.0
5,8.0,70.716,10.0
5,9.0,70.649,12.0
5,10.0,70.823,12.0
5,11.0,70.65,11.0
5,12.0,70.994,11.0
5,13.0,70.617,10.0
5,14.0,70.604,10.0
5,15.0,70.332,10.0
5,16.0,70.455,10.0
5,17.0,70.529,10.0
5,18.0,70.644,10.0
5,19.0,70.653,10.0
5,20.0,70.778,10.0
5,21.0,93.851,10.0
5,22.0,110.02,10.0
5,23.0,87.415,10.0
5,24.0,113.981,10.0
5,25.0,106.73,10.0
5,26.0,80.761,16.0
5,27.0,70.065,16.0
5,28.0,70.032,16.0
5,29.0,69.59,16.0
5,30.0,70.785,16.0
5,31.0,70.077,16.0
5,32.0,69.508,16.0
5,33.0,69.775,16.0
5,34.0,69.469,16.0
5,35.0,69.812,16.0
5,36.0,69.743,16.0
5,37.0,69.863,16.0
5,38.0,70.043,16.0
5,39.0,70.485,16.0
5,40.0,70.875,16.0
5,41.0,70.049,16.0
5,42.0,69.669,16.0
5,43.0,69.576,16.0
5,44.0,69.446,16.0
5,45.0,69.755,14.0
5,46.0,92.503,14.0
5,47.0,110.124,14.0
5,48.0,80.445,14.0
5,49.0,88.931,13.0
5,50.0,102.023,13.0
5,51.0,117.835,12.0
5,52.0,112.817,12.0
5,53.0,110.336,12.0
5,54.0,104.46,12.0
5,55.0,89.292,12.0
5,56.0,71.743,11.0
5,57.0,70.433,11.0
5,58.0,70.387,12.0
5,59.0,70.415,12.0
5,60.0,70.623,12.0
5,61.0,70.755,12.0
5,62.0,71.236,13.0
5,63.0,70.004,12.0
5,64.0,69.453,11.0
5,65.0,68.729,11.0
5,66.0,68.623,11.0
6,1.0,82.2,20.0
6,2.0,73.861,20.0
6,3.0,72.354,20.0
6,4.0,71.901,20.0
6,5.0,71.919,20.0
6,6.0,71.812,20.0
6,7.0,72.103,20.0
6,8.0,72.201,20.0
6,9.0,71.681,4.0
6,10.0,71.663,2.0
6,11.0,71.746,2.0
6,12.0,71.845,2.0
6,13.0,71.743,2.0
6,14.0,71.605,2.0
6,15.0,72.716,1.0
6,16.0,71.818,1.0
6,17.0,71.24,1.0
6,18.0,71.213,1.0
6,19.0,73.943,1.0
6,20.0,86.061,1.0
6,21.0,117.217,1.0
6,22.0,120.782,2.0
6,23.0,97.331,2.0
6,24.0,75.231,2.0
6,25.0,72.15,2.0
6,26.0,71.29,2.0
6,27.0,70.895,2.0
6,28.0,70.483,2.0
6,29.0,70.436,2.0
6,30.0,70.841,2.0
6,31.0,70.812,2.0
6,32.0,70.334,2.0
6,33.0,70.311,2.0
6,34.0,70.292,2.0
6,35.0,70.442,2.0
6,36.0,70.273,2.0
6,37.0,70.262,2.0
6,38.0,70.229,2.0
6,39.0,70.305,2.0
6,40.0,70.298,2.0
6,41.0,70.038,2.0
6,42.0,69.817,2.0
6,43.0,70.265,2.0
6,44.0,70.76,1.0
6,45.0,76.161,1.0
6,46.0,95.318,1.0
6,47.0,97.124,1.0
6,48.0,73.419,1.0
6,49.0,81.845,1.0
6,50.0,101.9,1.0
6,51.0,118.167,1.0
6,52.0,112.812,1.0
6,53.0,110.087,1.0
6,54.0,104.493,1.0
6,55.0,89.059,1.0
6,56.0,72.088,1.0
6,57.0,70.688,1.0
6,58.0,69.662,1.0
6,59.0,70.933,1.0
6,60.0,70.91,1.0
6,61.0,70.709,1.0
6,62.0,70.393,1.0
6,63.0,70.906,1.0
6,64.0,70.613,1.0
6,65.0,71.012,1.0
6,66.0,70.86,1.0
6,67.0,,
26,1.0,80.36,15.0
26,2.0,73.127,15.0
26,3.0,71.726,15.0
26,4.0,71.327,15.0
26,5.0,72.095,15.0
26,6.0,70.997,14.0
26,7.0,70.962,13.0
26,8.0,71.132,13.0
26,9.0,70.753,15.0
26,10.0,71.003,15.0
26,11.0,70.831,14.0
26,12.0,71.19,13.0
26,13.0,70.637,13.0
26,14.0,70.839,13.0
26,15.0,70.928,12.0
26,16.0,70.784,12.0
26,17.0,70.523,12.0
26,18.0,70.59,12.0
26,19.0,70.42,12.0
26,20.0,70.655,12.0
26,21.0,102.32,12.0
26,22.0,104.17,12.0
26,23.0,80.17,12.0
26,24.0,114.238,12.0
26,25.0,104.41,12.0
26,26.0,70.997,11.0
26,27.0,70.473,11.0
26,28.0,70.128,11.0
26,29.0,69.898,11.0
26,30.0,70.224,11.0
26,31.0,70.657,11.0
26,32.0,70.035,11.0
26,33.0,70.461,11.0
26,34.0,69.827,11.0
26,35.0,69.769,11.0
26,36.0,70.086,11.0
26,37.0,69.734,11.0
26,38.0,69.473,11.0
26,39.0,69.375,11.0
26,40.0,69.829,11.0
26,41.0,69.327,11.0
26,42.0,69.286,11.0
26,43.0,69.703,11.0
26,44.0,69.663,11.0
26,45.0,69.135,10.0
26,46.0,87.749,10.0
26,47.0,108.009,12.0
26,48.0,93.944,12.0
26,49.0,90.35,12.0
26,50.0,102.464,12.0
26,51.0,116.833,11.0
26,52.0,114.212,11.0
26,53.0,110.394,11.0
26,54.0,104.104,11.0
26,55.0,89.982,11.0
26,56.0,71.427,10.0
26,57.0,70.11,10.0
26,58.0,70.242,10.0
26,59.0,70.781,10.0
26,60.0,70.378,10.0
26,61.0,70.623,10.0
26,62.0,71.475,11.0
26,63.0,70.456,11.0
26,64.0,71.794,12.0
26,65.0,,
23,1.0,75.104,4.0
23,2.0,70.362,4.0
23,3.0,69.579,3.0
23,4.0,69.853,3.0
23,5.0,69.412,3.0
23,6.0,69.525,3.0
23,7.0,69.808,3.0
23,8.0,69.649,3.0
23,9.0,70.01,6.0
23,10.0,70.108,6.0
23,11.0,70.082,5.0
23,12.0,69.823,5.0
23,13.0,69.907,5.0
23,14.0,70.085,5.0
23,15.0,69.947,5.0
23,16.0,70.102,5.0
23,17.0,69.896,5.0
23,18.0,69.997,5.0
23,19.0,69.935,5.0
23,20.0,69.919,5.0
23,21.0,87.164,5.0
23,22.0,110.964,5.0
23,23.0,106.649,5.0
23,24.0,115.676,5.0
23,25.0,112.142,5.0
23,26.0,70.05,5.0
23,27.0,69.365,5.0
