driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Esteban Ocon,38.0,58.772,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,39.0,58.588,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,40.0,58.693,4.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,41.0,60.962,5.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,42.0,78.182,10.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,43.0,57.699,9.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,44.0,57.392,9.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,45.0,57.49,9.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,46.0,57.52,9.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,47.0,57.712,9.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,48.0,57.647,7.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,49.0,57.82,7.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,50.0,57.975,7.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,51.0,57.964,6.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,52.0,57.395,6.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,53.0,57.679,6.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,54.0,57.985,5.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
Esteban Ocon,55.0,71.429,5.0,Sakhir,0.91,0.86,0.58,1.0,0,0,0,23.0,Clear
