driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Charles Leclerc,12.0,70.138,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,13.0,70.177,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,14.0,70.072,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,15.0,69.954,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,16.0,70.181,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,17.0,70.245,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,18.0,70.392,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,19.0,70.117,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,20.0,70.199,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,21.0,89.806,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,22.0,110.117,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,23.0,101.051,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,24.0,114.953,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,25.0,107.566,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,26.0,70.877,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,27.0,70.125,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,28.0,69.596,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,29.0,69.538,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
Charles Leclerc,30.0,69.245,8.0,Austria,0.91,0.81,0.6,2.0,16,700,1,22.0,Sunny
