driver,lap_number,lap_time,position,race,aggressiveness,defensive_ability,stamina,total_overtakes,championships,employees,engine_manufacturer,Age,weather
Antonio Giovinazzi,8.0,103.399,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,9.0,103.386,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,10.0,103.241,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,11.0,102.9,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,12.0,103.077,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,13.0,102.876,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,14.0,102.909,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,15.0,102.767,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,16.0,106.901,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,17.0,121.186,17.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,18.0,102.303,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,19.0,101.592,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,20.0,101.24,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,21.0,101.14,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,22.0,100.888,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,23.0,101.333,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,24.0,101.46,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,25.0,101.065,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,26.0,101.565,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,27.0,101.377,16.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,28.0,101.34,15.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,29.0,101.037,15.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,30.0,101.194,15.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,31.0,101.227,14.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,32.0,101.131,14.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,33.0,101.298,14.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,34.0,100.817,14.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,35.0,101.16,14.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,36.0,101.406,13.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,37.0,102.814,14.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,38.0,101.265,14.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,39.0,101.947,14.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,40.0,100.951,13.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,41.0,100.44,13.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,42.0,112.26,13.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,43.0,99.994,13.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,44.0,99.766,13.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,45.0,100.501,13.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,46.0,100.249,13.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,47.0,100.569,12.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,48.0,101.215,11.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,49.0,104.076,11.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,50.0,100.162,11.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,51.0,102.21,11.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Antonio Giovinazzi,52.0,100.095,11.0,Russia,0.76,0.68,0.52,2.0,0,300,0,26.0,Sunny
Kevin Magnussen,1.0,139.727,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,6.0,103.318,9.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,7.0,103.02,9.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,8.0,103.04,9.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,9.0,102.696,9.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,10.0,102.783,9.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,11.0,102.258,9.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,12.0,102.367,9.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,13.0,104.922,10.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,14.0,102.345,10.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,15.0,101.849,10.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,16.0,102.079,9.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,17.0,102.082,8.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,18.0,101.88,8.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,19.0,106.342,6.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,20.0,121.172,14.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,21.0,101.095,14.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,22.0,100.477,14.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,23.0,100.839,14.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,24.0,100.944,14.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,25.0,101.666,14.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,26.0,101.672,14.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,27.0,101.746,14.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,28.0,101.569,13.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,29.0,101.523,13.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,30.0,101.326,13.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,31.0,101.295,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,32.0,101.046,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,33.0,101.098,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,34.0,100.993,12.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,35.0,101.073,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,36.0,101.089,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
Kevin Magnussen,37.0,100.981,11.0,Russia,0.78,0.73,0.68,0.0,0,250,0,27.0,Sunny
